Id,Name,Year,Date,UsageCount,Order,Size,Facts,TrainSet,ValidSet,TestSet
1,CYC/OpenCyc,1995,1/11/1995 00:00:00,2809,118499,18526,2413894,,,
2,UMLS,2004,01/01/2004 00:00:00,4052,2000000,,12000000,,,
3,DBpedia,2007,11/11/2007 00:00:00,5646,4600000,1367,538000000,,,
4,YAGO,2007,08/05/2007 00:00:00,4506,9800000,114,447000000,,,
5,Freebase,2008,09/06/2008 00:00:00,4853,40000000,35000,637000000,,,
6,NELL,2010,05/07/2010 00:00:00,2042,2006896,425,432845,,,
7,ReVerb,2011,27/07/2011 00:00:00,1589,2263915,664746,14728268,,,
9,WN18,2013,05/12/2013 00:00:00,,40943,18,,141442,5000,5000
10,FB15k,2013,05/12/2013 00:00:00,,14951,1345,,483142,50000,59071
11,WN11,2013,05/12/2013 00:00:00,,38696,11,,112581,2609,10544
12,FB13,2013,05/12/2013 00:00:00,,75043,13,,316232,5908,23733
13,FB5M,2014,21/06/2014 00:00:00,,5385322,1192,,19193556,50000,59071
14,YAGO3-10,2015,04/01/2015 00:00:00,717,123182,37,,1079040,5000,5000
15,Yahoo KG,2014,20/08/2014 00:00:00,,3443743,800,1391054990,,,
16,Knowledge Vault,2014,24/08/2014 00:00:00,1825,45000000,18526,271000000,,,
17,Wikidata,2014,01/10/2014 00:00:00,2413,18000000,1632,66000000,,,
18,FB40K,2015,19/02/2015 00:00:00,2764,39528,1336,,370648,67946,96678
19,FB2M,2015,05/06/2015 00:00:00,,2150604,6701,10843106,,,
20,FB20K,2016,05/03/2016 00:00:00,555,19923,1345,,12113,,1332
21,FB15K+,2016,05/03/2016 00:00:00,555,14951,1855,,486446,50000,62374
22,FB15k-ET,2017,06/11/2017 00:00:00,68,14951,1345,,,,
23,YAGO43k-ET,2017,06/11/2017 00:00:00,68,42335,37,,,,
24,WN18RR,2018,25/04/2018 00:00:00,1419,40943,11,,86835,3034,3134
25,FB15k-237,2018,25/04/2018 00:00:00,1419,14541,237,,272115,17535,20466
27,DB111k-174,2019,25/07/2019 00:00:00,91,111762,305,863643,,,
28,YAGO26K-906,2019,25/07/2019 00:00:00,91,26078,34,390738,,,
29,AI-KG,2020,02/11/2020 00:00:00,31,820000,,1200000,,,
30,Last-FM,2021,24/05/2021 00:00:00,17,9366,60,15518,,,
31,Movielens-1M,2021,24/05/2021 00:00:00,17,7008,7,20782,,,
32,Book-Crossing,2021,24/05/2021 00:00:00,17,77903,25,151500,,,
33,Dianping Food,2021,24/05/2021 00:00:00,17,28115,7,160519,,,
34,CS-KG,2022,01/01/2022 00:00:00,,10000000,179,41000000,,,
