Id;System;Domain;Year;Citations;Count;Reference
1;CICERO;Games;2022;4,00E+00;4;Human-level play in the game of Diplomacy by combining language models with strategic reasoning
2;Rational DQN Average;Games;2021;3,00E+00;3;Recurrent Rational Networks
3;GOAT;Games;2021;6,40E+01;64;Open-Ended Learning Leads to Generally Capable Agents
4;EfficientZero;Games;2021;4,00E+01;40;Mastering Atari Games with Limited Data
5;Player of Games;Games;2021;9,00E+00;9;Player of Games
6;Agent57;Games;2020;3,45E+02;345;Agent57: Outperforming the Atari Human Benchmark
7;CURL;Games;2020;2,90E+02;290;CURL: Contrastive Unsupervised Representations for Reinforcement Learning
8;Go-explore;Games;2020;1,79E+02;179;First return, then explore
9;Hanabi 4 player;Games;2019;2,29E+02;229;The Hanabi Challenge: A New Frontier for AI Research
10;FTW;Games;2019;4,25E+02;425;Human-level performance in 3D multiplayer games with population-based reinforcement learning
11;Pluribus;Games;2019;5,75E+02;575;Superhuman AI for multiplayer poker
12;Hide and Seek;Games;2019;5,00E+02;500;Emergent Tool Use From Multi-Agent Autocurricula
13;AlphaStar;Games;2019;1,04E+03;1040;Grandmaster level in StarCraft II using multi-agent reinforcement learning
14;MuZero;Games;2019;4,12E+02;412;Mastering Atari Go Chess and Shogi by Planning with a Learned Model
15;OpenAI Five;Games;2019;4,54E+02;454;Dota 2 with Large Scale Deep Reinforcement Learning
16;OpenAI Five Rerun;Games;2019;1,00E+03;1000;Dota 2 with Large Scale Deep Reinforcement Learning
17;IMPALA;Games;2018;6,75E+02;675;IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures
18;Population-based DRL;Games;2018;4,34E+02;434;Human-level performance in first-person multiplayer games with population-based deep reinforcement learning
19;MetaMimic;Games;2018;1,90E+01;19;One-Shot High-Fidelity Imitation: Training Large-Scale Deep Nets with RL
20;AlphaGo Master;Games;2017;5,81E+03;5810;Mastering the game of Go without human knowledge
21;Libratus;Games;2017;9,70E+01;97;Libratus: The Superhuman AI for No-Limit Poker
22;DeepStack;Games;2017;6,18E+02;618;DeepStack: Expert-Level Artificial Intelligence in No-Limit Poker
23;HRA;Games;2017;2,22E+02;222;Hybrid Reward Architecture for Reinforcement Learning
24;NoisyNet-Dueling;Games;2017;4,80E+02;480;Noisy Networks for Exploration
25;OpenAI TI7 DOTA 1v1;Games;2017;1,00E+03;1000;Dota 2 
26;AlphaGo Zero;Games;2017;5,81E+03;5810;Mastering the game of Go without human knowledge
27;AlphaZero;Games;2017;1,08E+03;1080;Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm
28;AlphaGo Lee;Games;2016;1,08E+04;10800;Mastering the game of Go with deep neural networks and tree search
29;A3C FF hs;Games;2016;5,28E+03;5280;Asynchronous Methods for Deep Reinforcement Learning
30;DQN-2015;Games;2015;1,57E+04;15700;Human-level control through deep reinforcement learning
31;AlphaGo Fan;Games;2015;5,18E+03;5180;Mastering the game of Go with deep neural networks and tree search
32;Advantage Learning;Games;2015;1,04E+02;104;Increasing the Action Gap: New Operators for Reinforcement Learning
33;HyperNEAT;Games;2014;1,95E+02;195;A Neuroevolution Approach to General Atari Game Playing
34;SmooCT;Games;2014;1,60E+01;16;Self-Play Monte-Carlo Tree Search in Computer Poker
35;DQN;Games;2013;6,68E+03;6680;Playing Atari with Deep Reinforcement Learning
36;Bayesian Starcraft;Games;2011;8,60E+01;86;A Bayesian Model for RTS Units Control applied to StarCraft
37;TD-Gammon;Games;1992;1,34E+03;1340;Practical Issues in Temporal Difference Learning
38;Adaptive Broom Balancer;Games;1988;8,00E+01;80;An Adaptive “Broom Balancer” with Visual Inputs
39;ASE+ACE;Games;1983;4,30E+03;4300;Neuronlike adaptive elements that can solve difficult learning control problems
40;Bootstrap Adaptation;Games;1973;3,97E+02;397;Punish/Reward: Learning with a Critic in Adaptive Threshold Systems
41;GLEE;Games;1968;5,90E+02;590;Boxes: An Experiment in Adaptive Control
42;BOXES;Games;1968;5,90E+02;590;Boxes: An Experiment in Adaptive Control
43;Samuel Neural Checkers II;Games;1967;7,47E+02;747;Some studies in machine learning using the game of checkers. Part II
44;MENACE;Games;1963;4,60E+01;46;Experiments on the Mechanization of Game-Learning Part I. Characterization of the Model and its parameters
45;Samuel Neural Checkers;Games;1959;4,15E+03;4150;Some studies in machine learning using the game of checkers
46;data2vec (language);Language;2022;1,80E+02;180;Data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language
47;Primer;Language;2022;3,90E+01;39;Primer: Searching for Efficient Transformers for Language Modeling
48;InstructGPT;Language;2022;1,49E+02;149;Training language models to follow instructions with human feedback
49;AlphaCode;Language;2022;7,50E+01;75;Competition-Level Code Generation with AlphaCode
50;RETRO-7B;Language;2022;5,90E+01;59;Improving language models by retrieving from trillions of tokens
51;GPT-NeoX-20B;Language;2022;4,50E+01;45;Announcing GPT- NeoX- 20B
52;LaMDA;Language;2022;;;LaMDA: Language Models for Dialog Applications
53;DeepNet;Language;2022;;;DeepNet: Scaling Transformers to 1,000 Layers
54;Statement Curriculum Learning;Language;2022;;;Formal Mathematics Statement Curriculum Learning
55;Chinchilla;Language;2022;;;Training Compute-Optimal Large Language Models
56;PaLM (540B);Language;2022;2,28E+02;228;PaLM: Scaling Language Modeling with Pathways
57;Sparse all-MLP;Language;2022;0,00E+00;0;Efficient Language Modeling with Sparse all-MLP
58;OPT-175B;Language;2022;;;OPT: Open Pre-trained Transformer Language Models
59;Jurassic-X;Language;2022;;;MRKL Systems A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning
60;UL2;Language;2022;1,90E+01;19;Unifying Language Learning Paradigms
61;Minerva (540B);Language;2022;;;"Solving Quantitative Reasoning Problems with
Language Models"
62;NLLB;Language;2022;1,90E+01;19;No Language Left Behind: Scaling Human-Centered Machine Translation
63;GLM-130B;Language;2022;;;GLM-130B: An open bilingual pre-trained model
64;BLOOM;Language;2022;;;
65;Galactica;Language;2022;;;Galactica: A Large Language Model for Science
66;YaLM;Language;2022;;;
67;AlexaTM 20B;Language;2022;;;AlexaTM 20B: Few-Shot Learning Using a Large-Scale Multilingual Seq2Seq Model
68;GPT-SW3;Language;2022;;;
69;Switch;Language;2021;5,11E+02;511;Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity
70;Wu Dao - Wen Yuan;Language;2021;;;China's GPT-3? BAAI Introduces Superscale Intelligence Model 'Wu Dao 1.0'
71;Generative BST;Language;2021;5,03E+02;503;Recipes for building an open-domain chatbot
72;FLAN;Language;2021;2,40E+02;240;FINETUNED LANGUAGE MODELS ARE ZERO-SHOT LEARNERS
73;GPT-Neo;Language;2021;;;GPT-Neo
74;Megatron-LM (1T);Language;2021;1,08E+02;108;Efficient Large-Scale Language Model Training on GPU Clusters
75;PLUG;Language;2021;;;
76;PanGu-α;Language;2021;6,50E+01;65;PanGu-α: Large-scale Autoregressive Pretrained Chinese Language Models with Auto-parallel Computation
77;GPT-J-6B;Language;2021;;;GPT-J-6B: 6B JAX-Based Transformer
78;HyperClova;Language;2021;;;Hyperclova
79;DeBERTa;Language;2021;6,61E+02;661;DeBERTa: Decoding-enhanced BERT with Disentangled Attention
80;ERNIE 3.0;Language;2021;1,00E+02;100;ERNIE 3.0: Large-scale Knowledge Enhanced Pre-training for Language Understanding and Generation
81;Codex;Language;2021;3,01E+02;301;Evaluating Large Language Models Trained on Code
82;HuBERT;Language;2021;4,58E+02;458;HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units
83;Jurassic-1-Jumbo;Language;2021;5,50E+01;55;Jurassic-1: Technical Details and Evaluation
84;XLMR-XXL;Language;2021;1,80E+01;18;Larger-Scale Transformers for Multilingual Masked Language Modeling
85;FLAN;Language;2021;2,40E+02;240;Finetuned Language Models Are Zero-Shot Learners
86;Megatron-Turing NLG 530B;Language;2021;1,14E+02;114;Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, the World’s Largest and Most Powerful Generative Language Model
87;Yuan 1.0;Language;2021;1,20E+01;12;Yuan 1.0: Large-Scale Pre-trained Language Model in Zero-Shot and Few-Shot Learning
88;T0-XXL;Language;2021;2,43E+02;243;Multitask Prompted Training Enables Zero-Shot Task Generalization
89;Japanese dialog transformers;Language;2021;3,10E+01;31;Empirical Analysis of Training Strategies of Transformer-based Japanese Chit-chat Systems
90;Source 1.0;Language;2021;;;
91;Gopher;Language;2021;1,76E+02;176;Scaling Language Models: Methods, Analysis & Insights from Training Gopher
92;XGLM;Language;2021;1,20E+01;12;Few-shot Learning with Multilingual Language Models
93;PCL-BAIDU Wenxin (ERNIE 3.0 Titan);Language;2021;1,10E+01;11;ERNIE 3.0 Titan: Exploring Larger-scale Knowledge Enhanced Pre-training for Language Understanding and Generation
94;T0-XXL;Language;2021;;;
95;PAGnol-XL;Language;2021;;;
96;Meena;Language;2020;6,15E+02;615;Towards a Human-like Open-Domain Chatbot
97;Theseus 6/768;Language;2020;1,23E+02;123;BERT-of-Theseus: Compressing BERT by Progressive Module Replacing
98;ALBERT-xxlarge;Language;2020;2,18E+03;2180;ALBERT: A Lite BERT for Self-supervised Learning of Language Representations.
99;Turing NLG;Language;2020;1,14E+02;114;Turing-NLG: A 17-billion-parameter language model by Microsoft
100;ELECTRA;Language;2020;8,42E+02;842;Electra: pre-training text encoders as discriminators rather than generators
101;MobileBERT;Language;2020;3,92E+02;392;MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices
102;GPT-3 175B (davinci);Language;2020;1,53E+03;1530;Language models are Few- Shot Learners
103;SqueezeBERT;Language;2020;6,20E+01;62;SqueezeBERT: What can computer vision teach NLP about efficient neural networks?
104;GShard (dense);Language;2020;2,95E+02;295;GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding
105;GShard (600B);Language;2020;2,95E+02;295;GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding
106;ERNIE-GEN (large);Language;2020;9,20E+01;92;ERNIE-GEN: An Enhanced Multi-Flow Pre-training and Fine-tuning Framework for Natural Language Generation
